source,target,value
Kalinowska_K,sahar_siddiqui,0.8
RailsGirlsSoC,sahar_siddiqui,0.8
KaUlah_Team,sahar_siddiqui,0.8
TeamFedex,sahar_siddiqui,0.8
shellycoen,sahar_siddiqui,0.8
RubyCatsTeam,sahar_siddiqui,0.8
izuroxx,sahar_siddiqui,0.8
michaeloliver52,sahar_siddiqui,0.8
freebirdxxoo,sahar_siddiqui,0.8
foodchiefin,sahar_siddiqui,0.8
mansigoel79,sahar_siddiqui,0.8
iram_ilyas,sahar_siddiqui,0.8
RabiaInaas,sahar_siddiqui,0.8
hashim1kabir1,sahar_siddiqui,0.8
chiragd_01,sahar_siddiqui,0.8
SiddhantShah8,sahar_siddiqui,0.8
dpsrkp_psalms,sahar_siddiqui,0.8
KeswaniSum,mansigoel79,0.8
Kalinowska_K,mansigoel79,0.8
MukeshG15527086,mansigoel79,0.8
RailsGirlsSoC,mansigoel79,0.8
KaUlah_Team,mansigoel79,0.8
sukruta,mansigoel79,0.8
shellycoen,mansigoel79,0.8
RubyCatsTeam,mansigoel79,0.8
izuroxx,mansigoel79,0.8
sahar_siddiqui,mansigoel79,0.8
oedifytweets,mansigoel79,0.8
VrindaM8,mansigoel79,0.8
ankurs13,mansigoel79,0.8
nishant_s90,mansigoel79,0.8
SilverKarts,mansigoel79,0.8
spashminder,mansigoel79,0.8
SenguptaSrishti,mansigoel79,0.8
omprakash202394,mansigoel79,0.8
SaloniKogta,mansigoel79,0.8
EsyaIIITD,mansigoel79,0.8
kathania,mansigoel79,0.8
namanspace,mansigoel79,0.8
VinaykrTomar,mansigoel79,0.8
janhavi1092,mansigoel79,0.8
DavidRingsell,mansigoel79,0.8
CrowdTEvent,mansigoel79,0.8
manojpandey96,mansigoel79,0.8
TanSA05,mansigoel79,0.8
jayasimehar,mansigoel79,0.8
sahar_siddiqui,tas19652002,0.8
Ashutosh0802,tas19652002,0.8
plantgrafix,tas19652002,0.8
mahmadilyas2000,tas19652002,0.8
rajbhadra,tas19652002,0.8
RubyGHofiu,tas19652002,0.8
FatnotAllison,tas19652002,0.8
LetaHComre,tas19652002,0.8
